"ca","count","total","arrested","arrestRatio","perCapitaIncome"
8,415,80484,58,0.1398,88669
7,202,64116,30,0.1485,71551
32,184,29283,22,0.1196,65526
6,343,94368,42,0.1224,60058
33,71,21390,7,0.0986,59077
5,96,31867,12,0.1250,57123
28,384,54881,57,0.1484,44689
12,16,18508,5,0.3125,44164
24,397,81432,67,0.1688,43198
9,12,11187,4,0.3333,40959
72,42,20034,4,0.0952,39523
41,118,25681,15,0.1271,39056
4,103,39493,17,0.1650,37524
39,115,17841,14,0.1217,35911
3,316,56362,40,0.1266,35787
74,37,19093,11,0.2973,34381
77,157,56521,27,0.1720,33385
10,60,37023,11,0.1833,32875
22,375,73595,75,0.2000,31908
48,122,13812,15,0.1230,28887
11,32,25448,6,0.1875,27751
16,208,53359,51,0.2452,27249
75,141,22544,27,0.1915,27149
13,52,17931,11,0.2115,26576
56,111,34513,13,0.1171,26353
17,57,41932,13,0.2281,26282
76,30,12756,5,0.1667,25828
64,42,23139,14,0.3333,25113
45,122,10185,13,0.1066,24454
15,162,64124,28,0.1728,24336
1,308,54991,61,0.1981,23939
35,203,18238,20,0.0985,23791
70,165,41081,33,0.2000,23482
38,307,21929,44,0.1433,23472
2,188,71942,32,0.1702,23040
60,108,31977,23,0.2130,22694
55,36,9426,3,0.0833,22677
18,26,13426,8,0.3077,22014
14,171,51542,50,0.2924,21323
50,82,7325,11,0.1341,20588
21,175,39262,42,0.2400,20039
73,262,26493,38,0.1450,19713
43,759,49767,90,0.1186,19398
36,45,5918,9,0.2000,19252
44,435,31028,57,0.1310,18881
42,387,25983,67,0.1731,18672
49,611,44619,86,0.1408,17949
69,573,32602,77,0.1344,17285
52,89,23042,23,0.2584,17104
59,50,15612,8,0.1600,16954
65,112,33355,24,0.2143,16907
46,410,31198,63,0.1537,16579
53,413,29651,58,0.1404,16563
31,136,35769,43,0.3162,16444
34,27,13391,2,0.0741,16148
57,65,13393,12,0.1846,16134
25,1224,98514,184,0.1503,15957
62,58,18109,12,0.2069,15754
71,596,48743,77,0.1292,15528
19,354,78743,97,0.2740,15461
20,132,25010,28,0.2121,15089
51,115,15109,18,0.1565,14685
40,241,11717,36,0.1494,13785
23,539,56323,92,0.1707,13781
66,516,55628,96,0.1860,13231
58,197,45368,47,0.2386,13089
27,296,20567,45,0.1520,12961
61,424,44377,93,0.2193,12765
47,37,2916,8,0.2162,12515
63,190,39894,46,0.2421,12171
29,527,35912,77,0.1461,12034
68,688,30654,113,0.1642,11888
67,707,35505,119,0.1683,11317
26,285,18001,44,0.1544,10934
37,62,2876,11,0.1774,10432
30,320,79288,76,0.2375,10402
54,113,6482,17,0.1504,8201
