"year","name","primarykey","rank","citizenship","countrycode","networthusbillion","selfmade","typeofwealth","gender","age","industry","IndustryAggregates","region","north","politicalconnection","founder","generationofinheritance","sector","company","companytype","relationshiptocompany","foundingdate","gdpcurrentus","sourceofwealth","notes","notes2","source","source_2","source_3","source_4","window","column1"
"2001","Abigail Johnson","abigail johnson","30","United States","USA","9.1","inherited","inherited","female","39","Money Management","Financial","North America","1","","0","Third generation","investment banking","Fidelity Investments","new","relation","1946","10621800000000","","3rd generation","no male siblings","http://en.wikipedia.org/wiki/Edward_Johnson,_III","https://www.fidelity.com/about-fidelity/our-heritage","","","a jerrold perenchio","false"
"2014","Aerin Lauder Zinterhofer","aerin lauder zinterhofer","1465","United States","USA","1.1","inherited","inherited","female","44","Consumer","Traded Sectors","North America","1","","0","Third generation","makeup","Estée Lauder","new","relation","1946","","inherited, cosmetics","3rd generation","","http://en.wikipedia.org/wiki/Jane_Lauder","http://investing.businessweek.com/research/stocks/snapshot/snapshot.asp?ticker=000718:CH","","","abigail johnson","false"
"2001","Alan Gerry","alan gerry","182","United States","USA","2.5","self-made","founder non-finance","male","71","Media","Non-Traded Sectors","North America","1","","1","0","media","Cablevision Industries","new","founder","1956","10621800000000","","","","http://en.wikipedia.org/wiki/Alan_Gerry","http://www.forbes.com/profile/alan-gerry/","Back to the Garden, Minus the Mud The New York Times July 1, 2006 Saturday","","aerin lauder zinterhofer","false"
"2001","Albert Ueltschi","albert ueltschi","452","United States","USA","1.1","self-made","founder non-finance","male","83","Other","0","North America","1","","1","0","commercial pilot training","FlightSafety International","new","founder","1951","10621800000000","","","","http://en.wikipedia.org/wiki/Albert_Lee_Ueltschi","Pilot made aviation-training firm a dynamo The Washington Post October 23, 2012 Tuesday","","","alan gerry","false"
"2001","Alberto Vilar","alberto vilar","490","United States","USA","1","self-made","self-made finance","male","","Money Management","Financial","North America","1","","1","0","investment banking","Amerindo Investment Advisors","new","founder","1980","10621800000000","","convicted for money laundering and fraud in 2008","","http://en.wikipedia.org/wiki/Alberto_Vilar","ARTS AND THE MAN The Miami Herald June 17, 2001 Sunday FINAL EDITION","http://money.cnn.com/2005/05/27/news/newsmakers/Vilar_investor/","","albert ueltschi","false"
"2014","Alec Gores","alec gores","869","United States","USA","2","self-made","self-made finance","male","60","Private equity/leveraged buyout","Financial","North America","1","","1","0","private equity","The Gores Group","new","founder","1987","","private equity","","","http://en.wikipedia.org/wiki/Alec_Gores","http://www.forbes.com/profile/alec-gores/","Fixer-upper pro loves a challenge USA TODAY March 5, 2002, Tuesday,","","alberto vilar","false"
"2014","Alexander Knaster","alexander knaster","828","United States","USA","2.1","self-made","privatized and resources","male","55","Energy","Resource Related","North America","1","","1","0","bank","Pamplona Capital Management","new","founder","2005","","oil, telecom, banking","","","http://en.wikipedia.org/wiki/Alexander_Knaster","http://www.forbes.com/profile/alexander-knaster/","http://www.bloomberg.com/profiles/people/1907097-alexander-m-knaster","","alec gores","false"
"2014","Alexander Rovt","alexander rovt","1465","United States","USA","1.1","self-made","executive","male","61","Consumer","Traded Sectors","North America","1","","0","0","fertilizers","IBE Trade","aquired","owner","1987","","fertilizer, real estate","","","http://en.wikipedia.org/wiki/Alexander_Rovt","http://www.ibetrade.com/","","","alexander knaster","false"
"2014","Alexander Spanos","alexander spanos","1465","United States","USA","1.1","self-made","self-made finance","male","90","Real Estate","Financial","North America","1","","1","0","real estate","A. G. Spanos Companies","new","founder","1960","","real estate","","","http://en.wikipedia.org/wiki/Alex_Spanos","http://www.forbes.com/profile/alexander-spanos/","http://articles.latimes.com/1985-03-11/sports/sp-34046_1_alex-spanos","","alexander rovt","false"
"2014","Alfred James Clark","alfred james clark","1092","United States","USA","1.6","self-made","executive","male","86","Constrution","Non-Traded Sectors","North America","1","","0","0","construction","Clark Enterprises","aquired","chairman","1906","","construction","","","http://www.forbes.com/profile/alfred-james-clark/","https://www.washingtonpost.com/business/a-james-clark-who-built-empire-of-concrete-and-glass-dies-at-87/2015/03/20/4828ff74-cf42-11e4-8c54-ffb5ba6f2f69_story.html","","","alexander spanos","false"
"1996","Alfred Lerner","alfred lerner","294","United States","USA","1.4","self-made","executive","male","0","Other","0","North America","1","","0","0","credit cards","MBNA","subsidiary","chairman","1982","8100200000000","","","","http://en.wikipedia.org/wiki/Al_Lerner","http://en.wikipedia.org/wiki/MBNA","Charles M. Cawley, Founder of MBNA Corp., Dies at 75 The New York Times November 25, 2015 Wednesday","","alfred james clark","false"
"2014","Alfred Mann","alfred mann","1465","United States","USA","1.1","self-made","founder non-finance","male","88","Technology-Medical","New Sectors","North America","1","","1","0","software","Spectrolab","new","founder","1956","","medical devices","","","http://en.wikipedia.org/wiki/Alfred_E._Mann","http://articles.latimes.com/2011/oct/09/business/la-fi-himi-alfred-mann-20111009","","","alfred lerner","false"
"2014","Alfred Taubman","alfred taubman","609","United States","USA","2.8","self-made","self-made finance","male","90","Real Estate","Financial","North America","1","","1","0","real estate (shopping malls)","Taubman Centers","new","founder","1950","","real estate","went to prision for comission-fixing with Anthony Tennant (Christies)","","http://en.wikipedia.org/wiki/A._Alfred_Taubman","http://en.wikipedia.org/wiki/Taubman_Centers","http://www.nytimes.com/2015/04/19/business/a-alfred-taubman-shopping-mall-tycoon-involved-in-price-fixing-scandal-dies-at-91.html?_r=1","","alfred mann","false"
