year,pooleid,passed,passed_senate,n_bills
1973,4812,1,4,120
1974,4812,0,3,38
1975,4812,2,2,94
1976,4812,0,0,20
1977,4812,0,2,111
1978,4812,1,2,17
1979,4812,4,6,93
1980,4812,2,3,27
1981,4812,0,1,88
1982,4812,0,0,17
1983,4812,1,2,105
1984,4812,0,0,12
1985,4812,0,1,105
1986,4812,1,4,17
1987,4812,4,7,96
1988,4812,0,1,11
1989,4812,3,7,71
1990,4812,0,1,21
1991,4812,4,8,72
1992,4812,1,3,22
1993,4812,1,2,64
1994,4812,0,0,16
1995,4812,0,2,44
1996,4812,0,1,4
1997,4812,0,1,38
1998,4812,0,0,4
1999,4812,0,3,42
2000,4812,1,2,4
2001,4812,0,1,39
2002,4812,0,2,5
2003,4812,0,0,40
2004,4812,0,3,8
2005,4812,2,4,42
2006,4812,0,0,2
2007,4812,2,2,47
2008,4812,1,2,7
2009,4812,0,0,39
2010,4812,0,1,5
2011,4812,0,0,38
2012,4812,0,0,2
