"ward","count","pop10","arrested","arrestRatio"
39,147,55809,45,0.3061
25,179,55613,49,0.2737
31,263,57914,70,0.2662
12,243,56024,63,0.2593
33,205,52793,53,0.2585
30,248,54516,59,0.2379
26,320,50599,76,0.2375
36,116,60473,27,0.2328
13,189,64065,44,0.2328
14,258,59913,60,0.2326
19,129,52647,27,0.2093
22,222,50941,46,0.2072
41,88,60020,18,0.2045
49,285,52252,57,0.2000
10,320,51899,63,0.1969
11,185,55911,36,0.1946
16,607,45920,118,0.1944
38,134,58810,26,0.1940
45,130,58117,25,0.1923
35,257,51005,46,0.1790
40,163,53439,29,0.1779
37,503,51213,89,0.1769
15,646,47674,113,0.1749
50,155,58458,27,0.1742
43,175,56746,30,0.1714
1,259,55522,43,0.1660
17,812,45902,131,0.1613
34,658,48245,106,0.1611
5,517,46246,82,0.1586
29,512,51206,81,0.1582
18,338,55593,53,0.1568
2,504,69356,77,0.1528
3,570,40512,87,0.1526
20,806,49263,123,0.1526
28,796,48761,121,0.1520
48,193,54186,29,0.1503
24,676,49587,101,0.1494
27,479,51261,70,0.1461
23,186,58163,27,0.1452
46,270,53977,39,0.1444
6,735,49878,106,0.1442
21,575,50845,82,0.1426
8,656,47677,88,0.1341
9,602,43530,73,0.1213
47,159,56565,19,0.1195
42,404,79216,48,0.1188
4,345,49195,41,0.1188
44,255,58097,27,0.1059
7,611,46529,63,0.1031
32,206,63515,21,0.1019
