primary_type,reports,arrests,year
CRIM SEXUAL ASSAULT,1792,414,2001
CRIM SEXUAL ASSAULT,1820,399,2002
CRIM SEXUAL ASSAULT,1584,311,2003
CRIM SEXUAL ASSAULT,1551,312,2004
CRIM SEXUAL ASSAULT,1524,275,2005
CRIM SEXUAL ASSAULT,1443,239,2006
CRIM SEXUAL ASSAULT,1508,218,2007
CRIM SEXUAL ASSAULT,1501,265,2008
CRIM SEXUAL ASSAULT,1384,216,2009
CRIM SEXUAL ASSAULT,1328,225,2010
CRIM SEXUAL ASSAULT,1442,211,2011
CRIM SEXUAL ASSAULT,1376,189,2012
CRIM SEXUAL ASSAULT,1218,190,2013
CRIM SEXUAL ASSAULT,1229,132,2014
