"City_Code","City","Metro","County","State","Population_Rank","November_2010","December_2010","January_2011","February_2011","March_2011","April_2011","May_2011","June_2011","July_2011","August_2011","September_2011","October_2011","November_2011","December_2011","January_2012","February_2012","March_2012","April_2012","May_2012","June_2012","July_2012","August_2012","September_2012","October_2012","November_2012","December_2012","January_2013","February_2013","March_2013","April_2013","May_2013","June_2013","July_2013","August_2013","September_2013","October_2013","November_2013","December_2013","January_2014","February_2014","March_2014","April_2014","May_2014","June_2014","July_2014","August_2014","September_2014","October_2014","November_2014","December_2014","January_2015","February_2015","March_2015","April_2015","May_2015","June_2015","July_2015","August_2015","September_2015","October_2015","November_2015","December_2015","January_2016","February_2016","March_2016","April_2016","May_2016","June_2016","July_2016","August_2016","September_2016","October_2016","November_2016","December_2016","January_2017"
"20330","San Francisco","San Francisco","San Francisco","CA","13","2.502","2.526","2.516","2.468","2.394","2.334","2.294","2.272","2.258","2.248","2.24","2.238","2.246","2.254","2.272","2.298","2.33","2.354","2.368","2.376","2.378","2.374","2.362","2.346","2.334","2.326","2.336","2.364","2.404","2.442","2.48","2.52","2.554","2.578","2.596","2.61","2.626","2.646","2.674","2.71","2.744","2.772","2.8","2.822","2.846","2.876","2.928","2.99","3.048","3.096","3.136","3.174","3.224","3.274","3.318","3.354","3.398","3.452","3.51","3.562","3.604","3.622","3.63","3.618","3.606","3.594","3.59","3.588","3.58","3.564","3.542","3.518","3.498","3.466","3.442"
"44269","Boston","Boston","Suffolk","MA","22","1.774","1.776","1.798","1.83","1.858","1.882","1.904","1.928","1.952","1.97","1.986","2.002","2.022","2.042","2.062","2.076","2.092","2.102","2.114","2.12","2.132","2.142","2.156","2.17","2.19","2.208","2.224","2.238","2.254","2.262","2.264","2.264","2.272","2.288","2.308","2.328","2.354","2.38","2.394","2.392","2.38","2.372","2.376","2.388","2.398","2.404","2.404","2.406","2.406","2.404","2.404","2.408","2.418","2.436","2.45","2.458","2.462","2.466","2.472","2.472","2.474","2.476","2.482","2.484","2.49","2.5","2.512","2.52","2.52","2.522","2.522","2.524","2.524","2.522","2.516"
"25320","Jersey City","New York","Hudson","NJ","79","1.958","1.98","2.002","2.038","2.072","2.086","2.076","2.06","2.024","1.992","1.962","1.942","1.946","1.946","1.964","1.98","1.982","1.992","2.004","2.038","2.076","2.114","2.152","2.182","2.216","2.22","2.218","2.222","2.218","2.21","2.194","2.188","2.188","2.186","2.18","2.176","2.194","2.198","2.182","2.142","2.13","2.142","2.178","2.194","2.212","2.242","2.274","2.304","2.328","2.33","2.336","2.344","2.358","2.372","2.388","2.404","2.424","2.432","2.44","2.44","2.462","2.476","2.504","2.52","2.532","2.528","2.522","2.516","2.51","2.5","2.49","2.488","2.49","2.48","2.468"
"18615","Honolulu","Urban Honolulu","Honolulu","HI","46","2.16","2.152","2.144","2.138","2.138","2.138","2.142","2.142","2.134","2.122","2.11","2.108","2.112","2.118","2.122","2.12","2.124","2.13","2.138","2.152","2.162","2.17","2.172","2.176","2.19","2.214","2.24","2.248","2.246","2.24","2.242","2.254","2.27","2.288","2.302","2.312","2.312","2.308","2.296","2.282","2.272","2.272","2.264","2.256","2.256","2.272","2.296","2.32","2.338","2.36","2.38","2.398","2.418","2.436","2.448","2.454","2.456","2.452","2.448","2.438","2.43","2.422","2.428","2.436","2.454","2.466","2.476","2.482","2.484","2.482","2.482","2.482","2.482","2.472","2.46"
"13072","Oakland","San Francisco","Alameda","CA","43","1.396","1.404","1.414","1.424","1.438","1.448","1.454","1.462","1.462","1.462","1.46","1.46","1.472","1.478","1.48","1.48","1.478","1.478","1.474","1.47","1.468","1.468","1.464","1.46","1.458","1.456","1.46","1.474","1.494","1.512","1.524","1.526","1.518","1.506","1.498","1.506","1.526","1.548","1.568","1.58","1.594","1.604","1.614","1.624","1.652","1.69","1.74","1.778","1.816","1.848","1.874","1.892","1.904","1.92","1.942","1.974","2.006","2.042","2.07","2.092","2.112","2.132","2.154","2.17","2.19","2.212","2.244","2.276","2.3","2.318","2.33","2.344","2.356","2.36","2.358"
"41568","Washington","Washington","District of Columbia","DC","26","1.896","1.902","1.918","1.934","1.946","1.956","1.964","1.97","1.976","1.978","1.978","1.976","1.98","1.982","1.986","1.996","2.006","2.014","2.014","2.008","1.994","1.978","1.97","1.97","1.98","1.994","2.006","2.016","2.022","2.026","2.024","2.028","2.032","2.042","2.05","2.06","2.066","2.064","2.05","2.038","2.022","2.012","2.008","2.01","2.022","2.04","2.056","2.062","2.064","2.07","2.076","2.086","2.096","2.11","2.124","2.138","2.152","2.162","2.168","2.174","2.182","2.186","2.194","2.194","2.198","2.2","2.212","2.222","2.224","2.22","2.22","2.226","2.234","2.236","2.238"
"33839","San Jose","San Jose","Santa Clara","CA","11","1.542","1.546","1.54","1.53","1.52","1.52","1.52","1.522","1.526","1.532","1.538","1.546","1.552","1.558","1.568","1.572","1.582","1.592","1.602","1.61","1.616","1.62","1.62","1.624","1.628","1.638","1.65","1.662","1.674","1.682","1.69","1.694","1.696","1.698","1.704","1.712","1.72","1.73","1.744","1.754","1.76","1.764","1.772","1.78","1.8","1.826","1.856","1.886","1.914","1.942","1.968","1.986","2.008","2.032","2.056","2.078","2.098","2.118","2.134","2.15","2.166","2.178","2.192","2.198","2.212","2.224","2.234","2.242","2.246","2.246","2.24","2.232","2.224","2.21","2.2"
"12700","Miami","Miami-Fort Lauderdale","Miami-Dade","FL","42","1.534","1.538","1.542","1.544","1.544","1.548","1.554","1.558","1.562","1.566","1.568","1.576","1.584","1.592","1.598","1.608","1.62","1.632","1.638","1.644","1.648","1.654","1.662","1.666","1.67","1.676","1.688","1.7","1.71","1.72","1.73","1.738","1.744","1.754","1.768","1.782","1.798","1.812","1.824","1.836","1.842","1.848","1.854","1.862","1.872","1.88","1.89","1.9","1.912","1.92","1.928","1.938","1.95","1.958","1.97","1.986","2.008","2.028","2.042","2.052","2.062","2.066","2.076","2.076","2.084","2.086","2.092","2.094","2.09","2.084","2.078","2.076","2.078","2.074","2.07"
"12447","Los Angeles","Los Angeles","Los Angeles","CA","2","1.578","1.578","1.58","1.582","1.586","1.588","1.59","1.594","1.594","1.594","1.592","1.59","1.592","1.592","1.59","1.588","1.588","1.588","1.59","1.588","1.59","1.588","1.592","1.594","1.598","1.602","1.608","1.616","1.622","1.628","1.634","1.64","1.648","1.656","1.662","1.672","1.676","1.682","1.68","1.68","1.678","1.682","1.688","1.696","1.708","1.72","1.738","1.76","1.78","1.8","1.816","1.834","1.85","1.862","1.87","1.878","1.888","1.9","1.908","1.914","1.92","1.93","1.948","1.962","1.978","1.99","2.004","2.018","2.026","2.032","2.038","2.042","2.048","2.056","2.064"
"47568","Santa Ana","Los Angeles","Orange","CA","55","1.566","1.564","1.566","1.568","1.568","1.57","1.57","1.574","1.58","1.588","1.59","1.59","1.59","1.594","1.6","1.612","1.624","1.63","1.634","1.638","1.638","1.632","1.626","1.628","1.63","1.632","1.636","1.64","1.648","1.654","1.662","1.674","1.682","1.69","1.698","1.71","1.724","1.734","1.736","1.738","1.736","1.732","1.732","1.732","1.742","1.748","1.762","1.774","1.786","1.798","1.806","1.814","1.82","1.828","1.838","1.844","1.854","1.87","1.884","1.89","1.894","1.898","1.906","1.918","1.932","1.946","1.956","1.964","1.966","1.966","1.966","1.97","1.972","1.978","1.986"
