"county","fips","st","pct_report","total_votes","lead","state_name","Donald_Trump","Hillary_Clinton"
"Los Angeles","6037","CA","1.0","2652072","Hillary Clinton","California","620285","1893770"
"Cook","17031","IL","0.9745999999999999","2055215","Hillary Clinton","Illinois","440213","1528582"
"Harris","48201","TX","1.0","1302887","Hillary Clinton","Texas","544960","706471"
"Maricopa","4013","AZ","1.0","1201934","Donald Trump","Arizona","590465","549040"
"Orange","6059","CA","1.0","1092116","Hillary Clinton","California","472669","556544"
"San Diego","6073","CA","1.0","1011651","Hillary Clinton","California","386807","567243"
"Miami-Dade","12086","FL","1.0","978670","Hillary Clinton","Florida","333666","623006"
"King","53033","WA","0.9076000000000001","910823","Hillary Clinton","Washington","197781","657149"
"Broward","12011","FL","1.0","822837","Hillary Clinton","Florida","258521","546956"
"Wayne","26163","MI","1.0","775450","Hillary Clinton","Michigan","228908","517842"
"Middlesex","25017","MA","1.0","767337","Hillary Clinton","Massachusetts","216163","508919"
"Clark","32003","NV","1.0","765421","Hillary Clinton","Nevada","319571","401068"
"Dallas","48113","TX","1.0","750649","Hillary Clinton","Texas","261865","458845"
"Kings","36047","NY","1.0","746295","Hillary Clinton","New York","133653","595086"
"Riverside","6065","CA","1.0","683612","Hillary Clinton","California","309514","339145"
"Philadelphia","42101","PA","0.9875","680227","Hillary Clinton","Pennsylvania","105418","560542"
"Hennepin","27053","MN","1.0","672644","Hillary Clinton","Minnesota","191768","429283"
"Oakland","26125","MI","1.0","663255","Hillary Clinton","Michigan","289127","342976"
"Tarrant","48439","TX","1.0","662832","Donald Trump","Texas","345683","288001"
"Santa Clara","6085","CA","1.0","659148","Hillary Clinton","California","137452","483472"
"Palm Beach","12099","FL","1.0","657235","Hillary Clinton","Florida","270762","371411"
"Allegheny","42003","PA","1.0","643173","Hillary Clinton","Pennsylvania","257488","363017"
"Queens","36081","NY","0.9969","627021","Hillary Clinton","New York","138550","473389"
"Suffolk","36103","NY","1.0","625720","Donald Trump","New York","328403","276953"
"Alameda","6001","CA","1.0","613195","Hillary Clinton","California","91189","486351"
"Nassau","36059","NY","1.0","599649","Hillary Clinton","New York","275479","307326"
"San Bernardino","6071","CA","1.0","598783","Hillary Clinton","California","253962","312517"
"Hillsborough","12057","FL","1.0","595072","Hillary Clinton","Florida","265928","306422"
"New York","36061","NY","0.9839","591368","Hillary Clinton","New York","58935","515481"
"Bexar","48029","TX","1.0","586038","Hillary Clinton","Texas","240161","319191"
"Cuyahoga","39035","OH","1.0","583230","Hillary Clinton","Ohio","179894","383974"
"Franklin","39049","OH","1.0","554711","Hillary Clinton","Ohio","192328","335961"
"Orange","12095","FL","1.0","545800","Hillary Clinton","Florida","195091","329579"
"Fairfax","51059","VA","1.0","542858","Hillary Clinton","Virginia","157837","354485"
"Wake","37183","NC","1.0","510940","Hillary Clinton","North Carolina","193607","298353"
"St. Louis","29189","MO","1.0","503493","Hillary Clinton","Missouri","199081","280866"
"Pinellas","12103","FL","1.0","491520","Donald Trump","Florida","238746","233327"
"Sacramento","6067","CA","1.0","467526","Hillary Clinton","California","163024","273768"
"Travis","48453","TX","1.0","462511","Hillary Clinton","Texas","126750","306475"
"Mecklenburg","37119","NC","1.0","461834","Hillary Clinton","North Carolina","154303","292258"
"Milwaukee","55079","WI","1.0","434970","Hillary Clinton","Wisconsin","126091","288986"
"Duval","12031","FL","1.0","428734","Donald Trump","Florida","210061","203627"
"Montgomery","42091","PA","1.0","427489","Hillary Clinton","Pennsylvania","160803","251063"
"Macomb","26099","MI","1.0","418773","Donald Trump","Michigan","224589","176238"
"Contra Costa","6013","CA","1.0","415972","Hillary Clinton","California","105819","286658"
"DuPage","17043","IL","1.0","412929","Hillary Clinton","Illinois","164355","222499"
"Fairfield","9001","CT","0.9933","410279","Hillary Clinton","Connecticut","155457","238723"
"Montgomery","24031","MD","1.0","408300","Hillary Clinton","Maryland","82985","309761"
"Fulton","13121","GA","1.0","407173","Hillary Clinton","Georgia","110372","281875"
"Hartford","9003","CT","1.0","399219","Hillary Clinton","Connecticut","147912","233789"
"Hamilton","39061","OH","1.0","395000","Hillary Clinton","Ohio","169972","207587"
"Bergen","34003","NJ","1.0","383965","Hillary Clinton","New Jersey","163220","209251"
"Erie","36029","NY","0.9773000000000001","383248","Hillary Clinton","New York","173817","192065"
"Worcester","25027","MA","1.0","380972","Hillary Clinton","Massachusetts","157138","197126"
"Westchester","36119","NY","0.9904999999999999","378506","Hillary Clinton","New York","121643","245670"
"Essex","25009","MA","1.0","376140","Hillary Clinton","Massachusetts","135405","220027"
"New Haven","9009","CT","1.0","375909","Hillary Clinton","Connecticut","158373","203601"
"San Francisco","6075","CA","1.0","365295","Hillary Clinton","California","34493","312443"
"Salt Lake","49035","UT","0.9181","361347","Hillary Clinton","Utah","117901","154831"
"Marion","18097","IN","1.0","361070","Hillary Clinton","Indiana","130228","212676"
"Pima","4019","AZ","1.0","360762","Hillary Clinton","Arizona","147019","195649"
"Bronx","36005","NY","1.0","358857","Hillary Clinton","New York","34424","318403"
"Norfolk","25021","MA","1.0","357781","Hillary Clinton","Massachusetts","119171","219129"
"Multnomah","41051","OR","0.8937999999999999","357762","Hillary Clinton","Oregon","63055","271754"
"Collin","48085","TX","1.0","356545","Donald Trump","Texas","200395","139837"
"Jefferson","21111","KY","1.0","352934","Hillary Clinton","Kentucky","143758","190824"
"Prince George's","24033","MD","1.0","351091","Hillary Clinton","Maryland","29290","313627"
"Bucks","42017","PA","1.0","342572","Hillary Clinton","Pennsylvania","163873","165861"
"Baltimore","24005","MD","1.0","335017","Hillary Clinton","Maryland","131009","189437"
"Shelby","47157","TN","1.0","331861","Hillary Clinton","Tennessee","114948","206640"
"Cobb","13067","GA","1.0","326424","Hillary Clinton","Georgia","152602","159416"
"Lee","12071","FL","1.0","325797","Donald Trump","Florida","191141","124725"
"Gwinnett","13135","GA","1.0","323931","Hillary Clinton","Georgia","146463","165063"
"Pierce","53053","WA","0.9339","322592","Hillary Clinton","Washington","136046","160306"
"Monroe","36055","NY","1.0","320164","Hillary Clinton","New York","128871","174063"
"Brevard","12009","FL","1.0","314337","Donald Trump","Florida","181620","119525"
"El Paso","8041","CO","1.0","313273","Donald Trump","Colorado","176506","105807"
"Monmouth","34025","NJ","1.0","311474","Donald Trump","New Jersey","165305","135825"
"Jefferson","8059","CO","1.0","309529","Hillary Clinton","Colorado","130233","151885"
"Snohomish","53061","WA","0.9014","309496","Hillary Clinton","Washington","116433","167943"
"Ventura","6111","CA","1.0","307881","Hillary Clinton","California","118764","170489"
"Kent","26081","MI","1.0","306270","Donald Trump","Michigan","147959","138567"
"Dane","55025","WI","1.0","304729","Hillary Clinton","Wisconsin","71270","217506"
"Suffolk","25025","MA","1.0","303517","Hillary Clinton","Massachusetts","50042","241212"
"Essex","34013","NJ","0.9764","299808","Hillary Clinton","New Jersey","62059","231031"
"DeKalb","13089","GA","1.0","295871","Hillary Clinton","Georgia","47531","239131"
"Jackson","29095","MO","1.0","294063","Hillary Clinton","Missouri","114777","163723"
"Lake","17097","IL","1.0","293574","Hillary Clinton","Illinois","108608","168186"
"Denton","48121","TX","0.9812000000000001","293287","Donald Trump","Texas","169175","110000"
"Will","17197","IL","1.0","291010","Hillary Clinton","Illinois","129726","146230"
"Jefferson","1073","AL","1.0","290111","Hillary Clinton","Alabama","130614","151581"
"San Mateo","6081","CA","1.0","287499","Hillary Clinton","California","53731","219580"
"Honolulu","15003","HI","1.0","285683","Hillary Clinton","Hawaii","90296","175634"
"Delaware","42045","PA","0.9976999999999999","284832","Hillary Clinton","Pennsylvania","106559","169169"
"Polk","12105","FL","1.0","283828","Donald Trump","Florida","157216","117182"
