state,name,count,total_per_year,percentage
VT,Liam,40,2878,0.01389854065323141
RI,Olivia,83,6685,0.012415856394913986
VT,Oliver,35,2878,0.012161223071577484
WY,Emma,39,3256,0.011977886977886978
VT,Jackson,34,2878,0.0118137595552467
WY,Liam,38,3256,0.01167076167076167
RI,Emma,77,6685,0.011518324607329843
VT,Emma,33,2878,0.011466296038915913
VT,Mason,33,2878,0.011466296038915913
WY,Mason,37,3256,0.011363636363636364
DE,Ava,69,6171,0.01118133203694701
VT,Owen,32,2878,0.011118832522585128
RI,Sophia,74,6685,0.01106955871353777
NH,Olivia,91,8286,0.010982379917933865
VT,Carter,31,2878,0.010771369006254344
RI,Noah,72,6685,0.010770381451009723
WY,Harper,35,3256,0.01074938574938575
NH,Charlotte,87,8286,0.010499637943519189
RI,Mason,69,6685,0.010321615557217651
RI,Liam,69,6685,0.010321615557217651
NH,Jackson,85,8286,0.010258266956311851
VT,Wyatt,29,2878,0.010076441973592773
VT,Ava,29,2878,0.010076441973592773
WV,Emma,143,14220,0.010056258790436005
MT,Emma,69,6968,0.009902411021814007
NH,Emma,82,8286,0.009896210475500844
DC,William,78,7888,0.00988843813387424
RI,Logan,66,6685,0.00987284966342558
AK,Olivia,56,5697,0.009829734948218361
HI,Noah,77,7838,0.009823934677213575
DE,Mason,60,6171,0.009722897423432183
ME,Owen,78,8050,0.00968944099378882
ME,Liam,78,8050,0.00968944099378882
AL,William,411,42522,0.009665584873712432
WV,Noah,137,14220,0.009634317862165964
HI,Liam,75,7838,0.009568767542740495
DE,Noah,59,6171,0.009560849133041647
WY,Olivia,31,3256,0.009520884520884522
ND,Ava,70,7416,0.009439050701186624
RI,Ava,63,6685,0.009424083769633508
DE,Olivia,58,6171,0.00939880084265111
VT,Samuel,27,2878,0.009381514940931202
DC,Henry,74,7888,0.009381338742393509
ME,Emma,75,8050,0.009316770186335404
HI,Mia,73,7838,0.009313600408267415
ND,Emma,69,7416,0.0093042071197411
AK,Liam,53,5697,0.009303142004563806
DE,Liam,57,6171,0.009236752552260573
DE,Sophia,57,6171,0.009236752552260573
RI,Alexander,61,6685,0.00912490650710546
SC,William,357,39463,0.009046448572080177
MT,William,63,6968,0.009041331802525832
VT,Noah,26,2878,0.009034051424600417
VT,Harper,26,2878,0.009034051424600417
RI,Michael,60,6685,0.008975317875841436
WV,Liam,127,14220,0.008931082981715893
NH,Benjamin,74,8286,0.008930726526671495
WY,Benjamin,29,3256,0.008906633906633907
WY,Wyatt,29,3256,0.008906633906633907
RI,Benjamin,59,6685,0.008825729244577411
NH,Owen,73,8286,0.008810041033067826
VT,Alexander,25,2878,0.008686587908269632
VT,Parker,25,2878,0.008686587908269632
VT,Charlotte,25,2878,0.008686587908269632
VT,Logan,25,2878,0.008686587908269632
RI,Isabella,58,6685,0.008676140613313389
NM,Noah,131,15112,0.00866860772895712
ND,Olivia,64,7416,0.008629989212513484
SD,Oliver,62,7189,0.008624287105299763
DC,James,68,7888,0.008620689655172414
MS,Ava,214,24872,0.008604052750080412
AK,Emma,49,5697,0.008601018079691065
WY,Luke,28,3256,0.0085995085995086
DE,Jackson,53,6171,0.008588559390698428
WV,Mason,122,14220,0.008579465541490859
ME,Mason,69,8050,0.008571428571428572
NH,Noah,71,8286,0.008568670045860488
NH,Mason,71,8286,0.008568670045860488
HI,Emma,67,7838,0.008548099004848176
RI,Lucas,57,6685,0.008526551982049364
MS,William,212,24872,0.008523641042135734
ND,Liam,63,7416,0.00849514563106796
ME,Oliver,68,8050,0.0084472049689441
VT,Henry,24,2878,0.008339124391938846
VT,Isabella,24,2878,0.008339124391938846
VT,Sawyer,24,2878,0.008339124391938846
KY,William,334,40067,0.008336037137794195
MA,Benjamin,454,54463,0.008335934487633806
ME,Olivia,67,8050,0.008322981366459627
HI,Mason,65,7838,0.008292931870375095
DE,Michael,51,6171,0.008264462809917356
RI,Jacob,55,6685,0.008227374719521317
SD,Harper,59,7189,0.008206982890527193
MS,John,204,24872,0.008201994210357028
AR,Emma,213,26011,0.008188843181730807
MT,Olivia,57,6968,0.008180252583237659
MA,William,445,54463,0.008170684685015516
CT,Sophia,215,26330,0.008165590581086214
CT,Noah,215,26330,0.008165590581086214
NM,Elijah,123,15112,0.008139227104287983
ID,Olivia,115,14133,0.008136984362838747
DC,Alexander,64,7888,0.008113590263691683
NH,Logan,67,8286,0.008085928071445812
ME,Amelia,65,8050,0.008074534161490683
ME,Wyatt,65,8050,0.008074534161490683
AK,Noah,46,5697,0.00807442513603651
AK,Aurora,46,5697,0.00807442513603651
SD,Emma,58,7189,0.008067881485603005
UT,William,309,38536,0.008018476230018683
CT,Mason,211,26330,0.008013672616786935
NM,Mia,121,15112,0.008006881948120699
VT,Sophia,23,2878,0.007991660875608061
VT,Olivia,23,2878,0.007991660875608061
WY,Noah,26,3256,0.007985257985257985
NH,Sophia,66,8286,0.007965242577842143
NH,William,66,8286,0.007965242577842143
HI,Olivia,62,7838,0.007910181168665476
AK,James,45,5697,0.007898894154818325
MT,Wyatt,55,6968,0.007893226176808266
MT,Liam,55,6968,0.007893226176808266
MS,James,196,24872,0.00788034737857832
MA,Olivia,428,54463,0.007858546168958742
ID,Emma,111,14133,0.007853958819783485
ME,Jackson,63,8050,0.00782608695652174
ND,Harper,58,7416,0.007820927723840345
TN,William,522,66781,0.007816594540363276
SD,Owen,56,7189,0.007789678675754625
NV,Sophia,188,24158,0.007782101167315175
RI,Anthony,52,6685,0.007778608825729245
RI,Charlotte,52,6685,0.007778608825729245
MT,Oliver,54,6968,0.007749712973593571
DC,Jacob,61,7888,0.007733265720081136
NH,Ava,64,8286,0.007723871590634806
AK,William,44,5697,0.007723363173600141
ID,Liam,109,14133,0.0077124460482558554
CT,Emma,203,26330,0.007709836688188378
ND,Oliver,57,7416,0.007686084142394822
WY,Logan,25,3256,0.007678132678132678
VT,Matthew,22,2878,0.007644197359277276
VT,Jaxon,22,2878,0.007644197359277276
VT,Jack,22,2878,0.007644197359277276
VT,Ethan,22,2878,0.007644197359277276
KY,Emma,306,40067,0.007637207677140789
CT,Olivia,201,26330,0.0076338777060387395
NV,Noah,184,24158,0.007616524546734001
DC,Michael,60,7888,0.007606490872210953
DC,Samuel,60,7888,0.007606490872210953
DC,Noah,60,7888,0.007606490872210953
MT,Harper,53,6968,0.0076061997703788745
NH,Jack,63,8286,0.007603186097031137
MS,Mason,189,24872,0.007598906400771952
WV,Ava,108,14220,0.007594936708860759
NV,Liam,183,24158,0.007575130391588708
AL,James,322,42522,0.007572550679648182
FL,Isabella,1376,182711,0.007531018931536689
HI,Aria,59,7838,0.007527430466955856
HI,Ava,59,7838,0.007527430466955856
SD,Liam,54,7189,0.007511475865906245
KS,Emma,215,28644,0.007505934925289764
IA,Liam,212,28264,0.007500707613925842
MD,Noah,386,51607,0.007479605479876761
RI,Mia,50,6685,0.0074794315632011965
NM,Sophia,113,15112,0.007477501323451562
MN,Henry,392,52542,0.007460698108180123
AL,John,317,42522,0.007454964488970415
DE,Abigail,46,6171,0.007454221357964673
ME,William,60,8050,0.007453416149068323
SC,James,293,39463,0.007424676279046195
AR,William,193,26011,0.007419937718657491
MA,Emma,402,54463,0.007381157850283679
WY,Sawyer,24,3256,0.007371007371007371
MA,Noah,401,54463,0.007362796761103869
NH,Liam,61,8286,0.007361815109823799
NH,Oliver,61,8286,0.007361815109823799
RI,Joseph,49,6685,0.007329842931937173
MT,James,51,6968,0.007319173363949483
WV,Olivia,104,14220,0.0073136427566807315
VT,Benjamin,21,2878,0.007296733842946491
VT,Elijah,21,2878,0.007296733842946491
VT,Colton,21,2878,0.007296733842946491
DE,Alexander,45,6171,0.007292173067574137
DE,Benjamin,45,6171,0.007292173067574137
UT,Emma,281,38536,0.007291882914677185
MD,Logan,376,51607,0.007285833317185653
HI,Isabella,57,7838,0.007272263332482776
UT,Oliver,280,38536,0.007265933153414989
NJ,Liam,569,78390,0.007258578900369945
OK,Emma,264,36378,0.007257133432294244
NC,William,702,96766,0.007254614224004299
DC,Benjamin,57,7888,0.007226166328600406
NM,Liam,109,15112,0.007212811011116993
NY,Liam,1388,192479,0.0072111762841660645
ME,Hunter,58,8050,0.0072049689440993785
AK,Oliver,41,5697,0.007196770229945585
UT,Olivia,277,38536,0.007188083869628399
MT,Carter,50,6968,0.007175660160734788
MN,Olivia,376,52542,0.007156179818050321
SC,Mason,282,39463,0.00714593416618098
CT,Alexander,188,26330,0.007140144322066084
DE,Anthony,44,6171,0.0071301247771836
DE,William,44,6171,0.0071301247771836
DE,Luke,44,6171,0.0071301247771836
TN,Emma,473,66781,0.007082852907264042
GA,William,728,102801,0.0070816431746772894
PA,Mason,790,111578,0.0070802487945652364
OR,Emma,234,33102,0.0070690592713431215
AZ,Sophia,470,66488,0.00706894477198893
CT,Isabella,186,26330,0.007064185339916445
WY,Ava,23,3256,0.007063882063882064
WY,Evelyn,23,3256,0.007063882063882064
WY,Jaxon,23,3256,0.007063882063882064
WY,Ryker,23,3256,0.007063882063882064
WA,Olivia,477,67630,0.00705308295135295
NE,Henry,127,18014,0.007050072166093039
WI,Emma,352,49954,0.007046482764143012
KY,Mason,282,40067,0.007038210996580727
RI,Aiden,47,6685,0.007030665669409125
SC,Ava,277,39463,0.0070192332057877
ND,Avery,52,7416,0.007011866235167206
ND,Carter,52,7416,0.007011866235167206
ND,Owen,52,7416,0.007011866235167206
IA,Emma,198,28264,0.007005377865836399
NV,Olivia,169,24158,0.0069956122195545985
PA,Olivia,780,111578,0.006990625392102386
CT,Liam,184,26330,0.006988226357766806
CT,Ava,184,26330,0.006988226357766806
AL,Ava,297,42522,0.006984619726259348
FL,Liam,1274,182711,0.006972760260739638
CO,Emma,353,50653,0.006968985055179357
DE,Emma,43,6171,0.006968076486793064
DE,Aiden,43,6171,0.006968076486793064
NC,Noah,674,96766,0.0069652563917078315
ME,Lucas,56,8050,0.006956521739130435
SD,Olivia,50,7189,0.006955070246209487
NV,Mia,168,24158,0.006954218064409305
IL,Noah,863,124106,0.006953733099124942
VT,Lucas,20,2878,0.006949270326615705
LA,Ava,321,46303,0.006932596160076021
VA,William,549,79313,0.0069219421784575035
AZ,Mia,460,66488,0.006918541691733847
