NameFull,year,BillId,IntrDate,memberid,pooleid,PLaw,PassS,DW1
Daniel K. Inouye,1973,93-S-997,2/26/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1484,4/5/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1483,4/5/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1389,3/27/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1374,3/27/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1373,3/27/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1301,3/20/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1254,3/15/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1236,3/14/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1233,3/14/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1045,2/28/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1044,2/28/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1001,2/26/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1000,2/26/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-999,2/26/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-998,2/26/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1485,4/5/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-996,2/26/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-47,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-801,2/7/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-732,2/1/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-231,1/6/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-157,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-154,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-153,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-150,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-149,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-148,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-147,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-146,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-145,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2088,6/27/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2849,12/21/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2843,12/20/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2840,12/20/1973,4812-93-100,4812,1,0,-0.321
Daniel K. Inouye,1973,93-S-2839,12/20/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2711,11/15/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2646,11/2/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2576,10/12/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2575,10/12/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2536,10/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2534,10/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2468,9/21/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2334,8/2/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2300,7/31/1973,4812-93-100,4812,0,1,-0.321
Daniel K. Inouye,1973,93-S-2123,6/30/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-76,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2041,6/20/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-2040,6/20/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1953,6/6/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1948,6/5/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1932,5/31/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1781,5/10/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1729,5/8/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1727,5/7/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1700,5/3/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1699,5/3/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1566,4/12/1973,4812-93-100,4812,0,1,-0.321
Daniel K. Inouye,1973,93-S-1488,4/5/1973,4812-93-100,4812,0,1,-0.321
Daniel K. Inouye,1973,93-S-1487,4/5/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-1486,4/5/1973,4812-93-100,4812,0,1,-0.321
Daniel K. Inouye,1973,93-S-104,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-95,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-96,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-97,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-98,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-99,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-101,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-102,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-103,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-94,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-105,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-106,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-107,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-108,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-109,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-116,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-117,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-118,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-86,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-77,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-78,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-79,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-81,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-82,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-83,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-84,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-85,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-143,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-87,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-88,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-89,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-90,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-91,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-92,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-93,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-120,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-119,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-144,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-142,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-141,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-140,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-139,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-138,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-137,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-135,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-134,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-133,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-132,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-131,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-130,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-127,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-126,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-125,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-124,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-123,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-122,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-121,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-128,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1973,93-S-129,1/4/1973,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3414,5/1/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3415,5/1/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3416,5/1/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3283,4/1/1974,4812-93-100,4812,0,1,-0.321
Daniel K. Inouye,1974,93-S-3251,3/27/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3250,3/27/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3249,3/27/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3466,5/9/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3532,5/28/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3248,3/27/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3533,5/28/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-4180,11/21/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3122,3/6/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3645,6/13/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-4147,10/16/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-4146,10/16/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3965,9/4/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3956,8/22/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3942,8/21/1974,4812-93-100,4812,0,1,-0.321
Daniel K. Inouye,1974,93-S-3892,8/8/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3881,8/6/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3734,7/9/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3534,5/28/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3644,6/13/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3632,6/12/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3631,6/12/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3630,6/12/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3629,6/12/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3535,5/28/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-4184,11/25/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-4193,11/26/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3110,3/5/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-3173,3/13/1974,4812-93-100,4812,0,1,-0.321
Daniel K. Inouye,1974,93-S-3053,2/25/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-2925,1/31/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-2924,1/31/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-2923,1/31/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1974,93-S-2870,1/21/1974,4812-93-100,4812,0,0,-0.321
Daniel K. Inouye,1979,96-S-61,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1570,7/25/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-60,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-59,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-58,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-57,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-56,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-49,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-28,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1647,8/2/1979,4812-96-100,4812,1,1,-0.328
Daniel K. Inouye,1979,96-S-1630,8/2/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-148,1/23/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-62,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-63,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-64,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-65,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-66,1/15/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-123,1/23/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-143,1/23/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-144,1/23/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-145,1/23/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-146,1/23/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-147,1/23/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-2085,12/5/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1458,7/9/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1457,7/9/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-2176,12/20/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1459,7/9/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1460,7/9/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1461,7/9/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1462,7/9/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1239,5/23/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-2173,12/20/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-2172,12/20/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1463,7/9/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1365,6/18/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1474,7/10/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1986,11/7/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1744,9/13/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1487,7/12/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1714,9/5/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1713,9/5/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1366,6/18/1979,4812-96-100,4812,0,0,-0.328
Daniel K. Inouye,1979,96-S-1496,7/12/1979,4812-96-100,4812,0,0,-0.328
