"id","first_name","last_name","party","seniority","state","missed_votes_pct","votes_with_party_pct","congress"
"A000062","George","Aiken","R",6,"VT",NULL,NULL,80
"B000095","Raymond","Baldwin","R",1,"CT",NULL,NULL,80
"B000099","Joseph","Ball","R",7,"MN",NULL,NULL,80
"B000145","Alben","Barkley","D",20,"KY",NULL,NULL,80
"B000460","Theodore","Bilbo","D",13,"MS",NULL,NULL,80
"B000816","Ralph","Brewster","R",7,"ME",NULL,NULL,80
"B000820","John","Bricker","R",1,"OH",NULL,NULL,80
"B000823","Henry","Bridges","R",11,"NH",NULL,NULL,80
"B000874","Charles","Brooks","R",7,"IL",NULL,NULL,80
"B000894","Joseph","Broughton","D",1,"NC",NULL,NULL,80
"B001013","Clayton","Buck","R",5,"DE",NULL,NULL,80
"B001168","Harlan","Bushfield","R",5,"SD",NULL,NULL,80
"B001169","Vera","Bushfield","R",1,"SD",NULL,NULL,80
"B001177","Hugh","Butler","R",7,"NE",NULL,NULL,80
"B001208","Harry","Byrd","D",14,"VA",NULL,NULL,80
"C000021","Harry","Cain","R",1,"WA",NULL,NULL,80
"C000128","Homer","Capehart","R",3,"IN",NULL,NULL,80
"C000133","Arthur","Capper","R",28,"KS",NULL,NULL,80
"C000338","Dennis","Chavez","D",12,"NM",NULL,NULL,80
"C000684","Thomas","Connally","D",18,"TX",NULL,NULL,80
"C000758","John","Cooper","R",1,"KY",NULL,NULL,80
"C000774","Guy","Cordon","R",3,"OR",NULL,NULL,80
"D000414","Forrest","Donnell","R",3,"MO",NULL,NULL,80
"D000469","Sheridan","Downey","D",9,"CA",NULL,NULL,80
"D000585","Henry","Dworshak","R",1,"ID",NULL,NULL,80
"E000018","James","Eastland","D",5,"MS",NULL,NULL,80
"E000037","Zales","Ecton","R",1,"MT",NULL,NULL,80
"E000112","Allen","Ellender","D",11,"LA",NULL,NULL,80
"F000057","William","Feazel","D",1,"LA",NULL,NULL,80
"F000081","Homer","Ferguson","R",5,"MI",NULL,NULL,80
"F000190","Ralph","Flanders","R",1,"VT",NULL,NULL,80
